Position,Name,Fanduel,Owned 50/50,Owned GPP,Owned Combined,DFSReport Ownership,DFSReport Projected,DFSReport+Owned,Formula 7,Formula 8,Formula 5,Formula 6,Formula 9,FFA Points,FFA Ceiling,FFA Floor,FFA Points/Ceiling Avg,FFA Points/Floor Avg,FFA Ceiling/Floor Avg,FantasyPros,FantasyLabs,Fantasy Labs Ceiling,Fantasy Labs Floor,Fantasy Labs 2,FantasyLabs3,FantasyLabs4,Fantasy Labs 5,Rotogrinders,Counting
WR,Jamison Crowder,6.51,0,0,0,,,0,0.6,175.8745,69.6875,10.5001,47.2431,88.0667,111.49,62.9256,99.77835,75.4962,87.2078,4.5,7.8,11,4.6,3.96,0.67,15.62,10.44,5.95,0
WR,Nate Washington,8.72,0,0,0,,,0,-3.5,30.309,12.1276,3.0533,12.7222,16.1701,35.2778,0,25.72395,8.0851,17.6389,,,,,,,0,0,,0
WR,Cole Beasley,6.6,0,0,0,,,0,4.65,196.75565,75.5843,11.4363,50.2807,97.2457,112.1412,77.5787,104.69345,87.4122,94.86,3.8,4.9,6.9,2.9,2.2,0.92,2.15,1.97,5.66,0
WR,Brian Hartline,7.28,0,0,0,,,0,-0.9,-0.9,0,0.291,1.2125,0,0,0,0,0,0,,,,,,,0,0,,0
WR,Quincy Enunwa,3.86,0,0,0,,,0,0.45,99.7205,39.2294,5.961,26.0371,49.7725,59.896,39.1,54.83425,44.4363,49.498,2.4,4,5.7,2.3,-8.25,0.08,-4.33,-0.34,3.83,0
WR,Rashad Greene,4.09,0,0,0,,,0,-2.15,88.64125,36.9445,5.4595,23.7994,46.8593,63.5439,24.32,55.2016,35.5897,43.932,2.2,3.9,5.6,2.2,-2.26,0.63,-1.09,-0.69,3.21,0
WR,Justin Hardy,3.32,0,0,0,,,0,8.65,150.50875,56.8576,8.4271,36.8447,72.3268,89.2346,49.8293,80.7807,61.0781,69.532,3.3,5.5,7.8,3.2,-6.14,0.02,-8.43,-0.19,4.61,0
WR,Terrelle Pryor,2.3,,,,,,,-0.9,-0.9,0,0.46,1.15,,,,,,,,,,,,,0,0,,0
WR,Jaelen Strong,4.11,0,0,0,,,0,12.95,182.7694,67.0313,10.0103,43.7924,86.8584,113.822,52.1,100.3402,69.4792,82.961,3.5,2.3,3.4,1.2,-3.47,0.06,-0.33,-0.02,3.11,0
WR,TJ Jones,2.19,,,,,,,0.65,0.65,0,0.438,1.095,,,,,,,,,,,,,0,0,,0
WR,Dezmin Lewis,0,,,,,,,-0.1,-0.1,0,0,0,,,,,,,,,,,,,0,0,,0
